index,AnalDate,Cruise,Site,Rep,SampID,EEM file,ABS file,Blank File,Raman File,Emcorr File,Excorr File,QS_Slope,Qw,dilutionfactor,comments
1,Aug-2-19,Florida,Site 1,1,Sample 1,Sample 1.dat,,,,,,,,0.090909091,
2,Aug-2-19,Florida,Site 1,1,Sample 2,Sample 2.dat,,,,,,,,0.333333333,
3,Aug-2-19,Florida,Site 2,1,Sample 3,Sample 3.dat,,,,,,,,0.333333333,
4,Aug-2-19,Florida,Site 2,1,Sample 4,Sample 4.dat,,,,,,,,0.333333333,
5,Aug-2-19,Florida,Site 2,1,Sample 5,Sample 5.dat,,,,,,,,0.333333333,
6,Aug-1-19,Florida,Site 3,1,Sample 6,Sample 6.dat,,,,,,,,0.166666667,
7,Aug-1-19,Florida,Site 3,1,Sample 7,Sample 7.dat,,,,,,,,1,
8,Aug-1-19,Florida,Site 4,1,Sample 8,Sample 8.dat,,,,,,,,0.047619048,
9,Aug-1-19,Florida,Site 4,1,Sample 9,Sample 9.dat,,,,,,,,1,
10,Aug-2-19,Florida,Site 5,1,Sample 10,Sample 10.dat,,,,,,,,0.090909091,
11,Aug-2-19,Florida,Site 5,1,Sample 11,Sample 11.dat,,,,,,,,0.333333333,
12,Aug-2-19,Florida,Site 5,1,Sample 12,Sample 12.dat,,,,,,,,0.333333333,
13,Aug-1-19,Florida,Site 6,1,Sample 13,Sample 13.dat,,,,,,,,1,
14,Aug-1-19,Florida,Site 6,1,Sample 14,Sample 14.dat,,,,,,,,0.166666667,
15,Aug-1-19,Florida,Site 6,1,Sample 15,Sample 15.dat,,,,,,,,1,
16,Aug-1-19,Florida,Site 7,1,Sample 16,Sample 16.dat,,,,,,,,0.166666667,
17,Aug-1-19,Florida,Site 7,1,Sample 17,Sample 17.dat,,,,,,,,1,
18,Aug-2-19,Florida,Site 8,1,Sample 18,Sample 18.dat,,,,,,,,0.090909091,
19,Aug-2-19,Florida,Site 8,1,Sample 19,Sample 19.dat,,,,,,,,0.090909091,
20,Aug-2-19,Florida,Site 8,1,Sample 20,Sample 20.dat,,,,,,,,0.047619048,
21,Aug-2-19,Florida,Site 9,1,Sample 21,Sample 21.dat,,,,,,,,0.090909091,
22,Aug-2-19,Florida,Site 9,1,Sample 22,Sample 22.dat,,,,,,,,1,
